區域別,性別,總計,0-4歲合計,5-9歲合計,10-14歲合計,15-19歲合計,20-24歲合計,25-29歲合計,30-34歲合計,35-39歲合計,40-44歲合計,45-49歲合計,50-54歲合計,55-59歲合計,60-64歲合計,65-69歲合計,70-74歲合計,75-79歲合計,80-84歲合計,85-89歲合計,90-94歲合計,95-99歲合計,100歲以上
北區,男,71353,2920,3462,4609,5302,5350,5709,6140,5229,5422,5661,5576,5290,3784,2045,1657,1192,1062,686,205,45,7
北區,女,76307,2607,3121,4352,4980,5049,5582,6605,6175,6466,6679,6417,5773,4294,2373,2206,1597,1115,608,231,60,17
西屯區,計,209838,9433,11784,16681,16423,14785,14974,17821,17998,19767,18897,15748,12315,8223,4450,3853,2679,2338,1257,338,66,8
西屯區,男,101447,4988,6099,8618,8486,7640,7429,8271,8049,8833,8727,7500,5914,3822,1935,1581,1178,1367,791,180,34,5
西屯區,女,108391,4445,5685,8063,7937,7145,7545,9550,9949,10934,10170,8248,6401,4401,2515,2272,1501,971,466,158,32,3
南屯區,計,155818,7583,10197,13043,12801,10313,10221,12707,14158,15682,14514,11036,8300,5514,3053,2644,1837,1340,659,180,31,5
南屯區,男,75224,3978,5436,6800,6650,5216,4975,5845,6040,6964,6722,5406,3987,2606,1405,1174,832,722,371,82,12,1
南屯區,女,80594,3605,4761,6243,6151,5097,5246,6862,8118,8718,7792,5630,4313,2908,1648,1470,1005,618,288,98,19,4
北屯區,計,249964,10499,12614,17102,19796,18261,19043,21533,20648,21912,21963,19535,16420,10808,6262,5162,3487,2927,1456,435,89,12
北屯區,男,121216,5452,6525,8886,10195,9455,9469,10347,9532,10057,10148,9021,7791,4971,2751,2250,1636,1637,843,210,36,4
北屯區,女,128748,5047,6089,8216,9601,8806,9574,11186,11116,11855,11815,10514,8629,5837,3511,2912,1851,1290,613,225,53,8
豐原區,計,165661,6931,8891,12050,12468,12133,13487,14467,12631,12205,13002,12095,11101,7952,4907,4600,3383,2138,897,260,55,8
豐原區,男,82158,3578,4610,6186,6502,6328,6907,7221,6063,5780,6243,5777,5351,3919,2408,2149,1587,1024,405,101,17,2
豐原區,女,83503,3353,4281,5864,5966,5805,6580,7246,6568,6425,6759,6318,5750,4033,2499,2451,1796,1114,492,159,38,6
東勢區,計,52742,1758,2254,3090,3480,3497,4188,4100,3471,3813,4050,4130,3819,3061,2169,2158,1650,1221,612,176,40,5
東勢區,男,27358,907,1218,1632,1802,1872,2174,2101,1843,2052,2181,2125,1983,1550,1082,1089,801,597,269,64,14,2
東勢區,女,25384,851,1036,1458,1678,1625,2014,1999,1628,1761,1869,2005,1836,1511,1087,1069,849,624,343,112,26,3
大甲區,計,78176,3092,4316,5956,6085,6232,6712,6749,5376,5410,5919,5659,5049,3459,2355,2337,1721,1059,488,164,35,3
大甲區,男,39634,1663,2252,3090,3087,3172,3396,3578,2698,2723,2981,2900,2512,1747,1162,1113,770,494,227,58,11,0
大甲區,女,38542,1429,2064,2866,2998,3060,3316,3171,2678,2687,2938,2759,2537,1712,1193,1224,951,565,261,106,24,3
清水區,計,85640,3734,4556,5552,6222,6204,7343,7864,6467,6175,6378,5905,5630,4049,2655,2535,2013,1375,709,215,54,5
清水區,男,44178,1924,2418,2928,3267,3204,3783,4113,3413,3304,3355,3071,2902,2052,1265,1189,919,670,304,86,10,1
清水區,女,41462,1810,2138,2624,2955,3000,3560,3751,3054,2871,3023,2834,2728,1997,1390,1346,1094,705,405,129,44,4
沙鹿區,計,83358,4520,5069,5547,6060,5741,6973,9091,7640,6251,5735,5193,4941,3670,2159,1873,1297,965,444,146,36,7
沙鹿區,男,42371,2340,2617,2920,3179,3009,3542,4659,3970,3272,2928,2561,2354,1751,1037,873,589,487,221,51,11,0
沙鹿區,女,40987,2180,2452,2627,2881,2732,3431,4432,3670,2979,2807,2632,2587,1919,1122,1000,708,478,223,95,25,7
梧棲區,計,55539,2598,3195,3794,4256,4346,5031,5502,4498,3941,3995,3941,3503,2393,1479,1233,874,561,274,102,21,2
梧棲區,男,28151,1369,1651,1958,2172,2224,2550,2755,2308,2028,2009,1984,1756,1210,724,606,405,255,135,45,6,1
梧棲區,女,27388,1229,1544,1836,2084,2122,2481,2747,2190,1913,1986,1957,1747,1183,755,627,469,306,139,57,15,1
后里區,計,54029,2426,2836,3535,3958,3742,4442,4972,4162,3946,3942,3705,3592,2625,1757,1584,1195,1010,439,131,27,3
