案類,發生日期,發生地點
搶奪,0930702 0750,台中市南屯區黎明路1段178號
搶奪,0930702 2205,台中市西屯區東興路大墩19街口
搶奪,0930704 0030,台中市西區民生路
搶奪,0930704 0240,台中市北屯區旅順路2段322號
搶奪,0930705 0940,台中市西屯區福上巷235弄28號
搶奪,0930706 1250,台中市北屯區軍福路軍���十八街口
搶奪,0930707 1753,台中市南屯區公益路與大英街
搶奪,0930707 1850,台中市北區進化北路279號
搶奪,0930707 2000,台中市北屯區平德路1巷13號
搶奪,0930708 2030,台中市北區崇德路1段133號
搶奪,0930708 2330,台中市西區中港路與忠明路口
搶奪,0930710 2040,台中市中區公園自由路
搶奪,0930710 2120,台中市西區精誠三街19號
搶奪,0930711 2310,台中市南屯區大墩路597號
搶奪,0930713 2030,台中市西屯區福星路545號
搶奪,0930713 2105,台中市北區太平路17號
搶奪,0930713 2120,台中市中區成功與建國路口
搶奪,0930713 2200,台中市北區太原.崇德路
搶奪,0930714 1000,台中市北區博館二街18號
搶奪,0930714 1445,台中市南屯區黎明路與三和街口
搶奪,0930714 1915,台中市西屯區河南路福星路口
搶奪,0930715 1800,台中市西屯區西屯路2段258巷
搶奪,0930715 1920,台中市北屯區興安路2段405巷21號
搶奪,0930716 0400,台中市北屯區梅川東路瀋陽二街
搶奪,0930716 1315,台中市北屯區大連.興安
搶奪,0930716 1540,台中市北區東光五街17號
搶奪,0930717 1600,台中市北區一中街
搶奪,0930717 2230,台中市西屯區青海路惠中路口
搶奪,0930717 2300,台中市東區南京四街與自由三街口
搶奪,0930718 1340,台中市北區興進.自強路口
搶奪,0930719 0820,台中市西屯區中清西二街92巷
搶奪,0930719 1300,台中市南屯區河南路4段惠文國小旁
搶奪,0930720 2000,台中市北區進化路623號
搶奪,0930721 1230,台中市北屯區熱河路
搶奪,0930722 1730,台中市北區武漢.陜西東三街
搶奪,0930722 1800,台中市南區工學六街100號
搶奪,0930722 1945,台中市東區大智路89-1號前樓
搶奪,0930722 2335,台中市西屯區青海路上石路口
搶奪,0930723 1000,台中市南屯區大墩10街與大正街口
搶奪,0930723 1430,台中市南區國光路1號
搶奪,0930723 1630,台中市中區建國與民權路口
搶奪,0930724 2000,台中市西區中港與忠明南路口
搶奪,0930724 2310,台中市北屯區瀋陽路3段375號
搶奪,0930725 1140,台中市北區大雅路319號
搶奪,0930726 1900,台中市北區三民福音街口
搶奪,0930726 1920,台中市北屯區柳楊東路遼寧路口
搶奪,0930726 1930,台中市北屯區大連路柳楊東街
搶奪,0930726 2010,台中市北區育才北路
搶奪,0930726 2010,台中市南區復興路2段
搶奪,0930727 1140,台中市東區十甲東路406巷1號西藥房內
搶奪,0930727 1500,台中市東區東勢里進化路250巷
搶奪,0930728 1415,台中市北區永興街47號
搶奪,0930728 1750,台中市西區忠明南路60號
搶奪,0930729 0850,台中市南屯區黎明路與公益路口
搶奪,0930729 1100,台中市北屯區崇德二路松順一街口
搶奪,0930729 1420,台中市東區大智路339號前樓三信銀行
搶奪,0930729 2025,台中市中區成功路180號
搶奪,0930730 1800,台中市北區太原北路太原八街口
搶奪,0930731 0120,台中市西屯區福星路379號
搶奪,0930731 1510,台中市東區大智路96號
搶奪,0930731 1715,台中市北區成功路原子街口
搶奪,0930731 1800,台中市北屯區崇德六路1段15號
搶奪,0930731 1900,台中市西區五權西三街111號
搶奪,0930731 2200,台中市南屯區大墩路533號
搶奪,0930801 0145,台中市北區中華路
搶奪,0930801 0450,台中市南屯區黎明東街396號
搶奪,0930801 0800,台中市南屯區大英街
搶奪,0930801 1552,台中市北區崇德.健行路口
搶奪,0930801 1700,台中市南屯區大墩路與大墩16街口
搶奪,0930801 1950,台中市北區大雅路27號
搶奪,0930802 0815,台中市西屯區福雅路138巷
搶奪,0930802 1111,台中市北區博館.西屯路
搶奪,0930802 1700,台中市北區青島山西路口
搶奪,0930802 2130,台中市北區漢口路4段312號
搶奪,0930803 0545,台中市西區三民西路70號
搶奪,0930803 1900,台中市北區大雅.梅亭街口
搶奪,0930804 1500,台中市北區天津.青島路
搶奪,0930804 1645,台中市西區華美西路1段43號
搶奪,0930804 1840,台中市中區民族路
搶奪,0930804 1840,台中市中區民族路平等街
搶奪,0930804 2230,台中市北區柳川西公園路口
搶奪,0930805 1400,台中市西屯區市政北一路77號
搶奪,0930805 1600,台中市北區梅亭.榮華路
搶奪,0930805 1930,台中市南屯區大墩六街48號
搶奪,0930806 0220,台中市南區忠明南路與三民西路口
搶奪,0930806 0815,台中市北屯區瀋陽路3段349號
搶奪,0930806 2300,台中市北屯區陳平路137號
搶奪,0930807 0640,台中市北區進化路636號
搶奪,0930807 1700,台中市北屯區梅川東路4段41號
搶奪,0930807 1720,台中市北區五權三民路口209巷
搶奪,0930807 1726,台中市西屯區台中港路3段56-3號
搶奪,0930808 1720,台中市西屯區甘肅路寧夏西七街口
搶奪,0930808 2150,台中市北區三民.精武路口
搶奪,0930809 0210,台中市西區忠明路98號
搶奪,0930809 1400,台中市北區太原忠明路口
搶奪,0930809 1730,台中市東區力行路進化路口
搶奪,0930809 2200,台中市北區進化路大義街口
搶奪,0930810 1750,台中市北屯區松竹路86巷口弄松明街
搶奪,0930810 2000,台中市北區中華路中華公園
搶奪,0930811 0800,台中市東區樂業里樂業路與泉源路口
搶奪,0930811 1005,台中市西屯區長安路2段287號
搶奪,0930811 1045,台中市南屯區大墩12街178號
搶奪,0930812 1200,台中市北區育德路
